what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1347646080166
started,bundle,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.ide",1347646080197
started,bundle,org.eclipse.ui.net,1.2.0.I20090430-0408,"org.eclipse.ui.net",1347646080213
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1347646080260
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1347646080275
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1347646080275
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1347646080307
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1347646080354
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1347646080354
os,sysinfo,,,"win32",1347646080354
arch,sysinfo,,,"x86",1347646080354
ws,sysinfo,,,"win32",1347646080354
locale,sysinfo,,,"en_US",1347646080354
processors,sysinfo,,,"4",1347646080369
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1347646080369
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1347646080369
java.specification.name,sysinfo,,,"Java Platform API Specification",1347646080369
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1347646080369
java.specification.version,sysinfo,,,"1.6",1347646080369
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1347646080369
java.version,sysinfo,,,"1.6.0_26",1347646080369
java.vm.info,sysinfo,,,"mixed mode, sharing",1347646080369
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1347646080369
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1347646080369
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1347646080369
