what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1344446965163
processors,sysinfo,,,"4",1344446965163
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1344446965163
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1344446965163
java.specification.name,sysinfo,,,"Java Platform API Specification",1344446965163
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1344446965163
java.specification.version,sysinfo,,,"1.6",1344446965163
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1344446965163
java.version,sysinfo,,,"1.6.0_26",1344446965163
java.vm.info,sysinfo,,,"mixed mode, sharing",1344446965163
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1344446965163
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1344446965163
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1344446965163
java.vm.specification.version,sysinfo,,,"1.0",1344446965163
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1344446965163
java.vm.version,sysinfo,,,"20.1-b02",1344446965163
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1344446965163
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1344446965179
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1344446968741
started,bundle,org.eclipse.jdt.apt.core,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.core",1344446985441
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.200.v20090526-2130,"org.eclipse.jdt.apt.pluggable.core",1344446985457
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1344446997955
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1344447003048
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1344447003173
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1344447003282
